"steam_id","stat_ts","peak_players"
"2315040","1781701200000","543"
"4025700","1781701200000","12773"
"1974050","1781704800000","844"
"2315040","1781704800000","538"
"4025700","1781704800000","13012"
"1974050","1781708400000","807"
"2315040","1781708400000","447"
"4025700","1781708400000","12797"
"1974050","1781712000000","787"
"2315040","1781712000000","304"
"4025700","1781712000000","11533"
"1974050","1781715600000","760"
"2315040","1781715600000","190"
"4025700","1781715600000","9879"
"1974050","1781719200000","712"
"2315040","1781719200000","128"
"4025700","1781719200000","8721"
"1974050","1781722800000","690"
"2315040","1781722800000","106"
"4025700","1781722800000","7838"
"1974050","1781726400000","616"
"2315040","1781726400000","85"
"4025700","1781726400000","7094"
"1974050","1781730000000","548"
"2315040","1781730000000","73"
"4025700","1781730000000","6899"
"1974050","1781733600000","487"
"2315040","1781733600000","69"
"4025700","1781733600000","6687"
"1974050","1781737200000","484"
"2315040","1781737200000","83"
"4025700","1781737200000","6871"
"1974050","1781740800000","452"
"2315040","1781740800000","136"
"4025700","1781740800000","7120"
"1974050","1781744400000","425"
"2315040","1781744400000","211"
"4025700","1781744400000","7406"
"1974050","1781748000000","442"
"2315040","1781748000000","239"
"4025700","1781748000000","7590"
"1974050","1781751600000","459"
"2315040","1781751600000","272"
"4025700","1781751600000","7567"
"1974050","1781755200000","448"
"2315040","1781755200000","292"
"4025700","1781755200000","7686"
"1974050","1781758800000","475"
"2315040","1781758800000","309"
"4025700","1781758800000","7811"
"1974050","1781762400000","507"
"2315040","1781762400000","322"
"4025700","1781762400000","7699"
"1974050","1781766000000","545"
"2315040","1781766000000","357"
"4025700","1781766000000","7879"
"1974050","1781769600000","579"
"2315040","1781769600000","358"
"4025700","1781769600000","8060"
"1974050","1781773200000","597"
"2315040","1781773200000","354"
"4025700","1781773200000","8319"
"1974050","1781776800000","642"
"2315040","1781776800000","361"
"4025700","1781776800000","9018"
"1974050","1781780400000","706"
"2315040","1781780400000","398"
"4025700","1781780400000","10174"
"1974050","1781784000000","791"
"2315040","1781784000000","479"
"4025700","1781784000000","11543"
"1974050","1781787600000","835"
"2315040","1781787600000","533"
"4025700","1781787600000","12625"
"1974050","1781791200000","863"
"2315040","1781791200000","493"
"4025700","1781791200000","13283"
"1974050","1781794800000","841"
"2315040","1781794800000","430"
"4025700","1781794800000","13023"
"1974050","1781798400000","765"
"2315040","1781798400000","324"
"4025700","1781798400000","11930"
"1974050","1781802000000","745"
"2315040","1781802000000","219"
"4025700","1781802000000","10417"
"1974050","1781805600000","698"
"2315040","1781805600000","147"
"4025700","1781805600000","8952"
"1974050","1781809200000","664"
"2315040","1781809200000","112"
"4025700","1781809200000","8131"
"1974050","1781812800000","647"
"2315040","1781812800000","80"
"4025700","1781812800000","7370"
"1974050","1781816400000","566"
"2315040","1781816400000","66"
"4025700","1781816400000","7203"
"1974050","1781820000000","502"
"2315040","1781820000000","69"
"4025700","1781820000000","7098"
"1974050","1781823600000","473"
"2315040","1781823600000","101"
"4025700","1781823600000","7425"
"1974050","1781827200000","462"
"2315040","1781827200000","146"
"4025700","1781827200000","7714"
"1974050","1781830800000","459"
"2315040","1781830800000","215"
"4025700","1781830800000","8168"
"1974050","1781834400000","450"
"2315040","1781834400000","314"
"4025700","1781834400000","8752"
"1974050","1781838000000","483"
"2315040","1781838000000","308"
"4025700","1781838000000","9549"
"1974050","1781841600000","494"
"2315040","1781841600000","351"
"4025700","1781841600000","10013"
"1974050","1781845200000","508"
"2315040","1781845200000","378"
"4025700","1781845200000","10795"
"1974050","1781848800000","539"
"2315040","1781848800000","411"
"4025700","1781848800000","11366"
"1974050","1781852400000","588"
"2315040","1781852400000","431"
"4025700","1781852400000","11667"
"1974050","1781856000000","621"
"2315040","1781856000000","453"
"4025700","1781856000000","11793"
"1974050","1781859600000","664"
"2315040","1781859600000","422"
"4025700","1781859600000","11846"
"1974050","1781863200000","677"
"2315040","1781863200000","404"
"4025700","1781863200000","11817"
"1974050","1781866800000","749"
"2315040","1781866800000","446"
"4025700","1781866800000","12598"
"1974050","1781870400000","764"
"2315040","1781870400000","471"
"4025700","1781870400000","13787"
"1974050","1781874000000","788"
